leg,plant_feature,rho,p_value,n,best_lag,best_lag_rho,best_lag_p,partial_rho,partial_p,partial_n,significant
plant<->valence,plant_detrend_std,-0.23757127062163363,5.254424890022827e-05,284,,,,-0.08267885433579703,0.16541323246289288,284.0,True
plant<->valence,plant_max,-0.18631811894665218,0.0016121414131564466,284,,,,-0.18390549155453634,0.0018924237772638235,284.0,True
plant<->valence,hjorth_mobility,-0.07946574743233438,0.1817497109234824,284,,,,-0.2803363891157707,1.655082258975289e-06,284.0,False
plant<->valence,plant_range,-0.1896114645844193,0.001325182412061049,284,,,,-0.1709018800955781,0.003932406969093002,284.0,True
plant<->valence,ratio_bp1_5_total,0.2771098602026891,2.1105296496974146e-06,284,,,,0.1372467517393774,0.020912049533781327,284.0,True
plant<->valence,plant_min,0.1832612802129692,0.0019283070812557044,284,,,,0.15443585666777784,0.009264293069522443,284.0,True
plant<->valence,ratio_bp1_5_bp5_15,0.15858521035081605,0.007412859260136815,284,,,,0.2870263411440462,9.06692090144418e-07,284.0,True
plant<->valence,plant_iqr,-0.07759842888362162,0.1922637864815191,284,,,,0.1742159969417976,0.0032788064149319885,284.0,False
plant<->valence,plant_mean,0.15249542323267742,0.010063667171254535,284,,,,-0.0006410054672754176,0.9914343509757872,284.0,True
plant<->valence,hjorth_complexity,0.06486312331867343,0.275968950916789,284,,,,0.26645142308875525,5.493555541058403e-06,284.0,False
plant<->valence,bp_0_1,-0.054711905429227776,0.35828220228122964,284,,,,0.17928315718054902,0.0024680957906656927,284.0,False
plant<->valence,plant_std,-0.2366799815229039,5.6159352213719205e-05,284,,,,-0.08151070456427115,0.17149065922589046,284.0,True
plant<->valence,plant_median,0.1053043928919518,0.07644045439760959,284,,,,-0.04622117461873597,0.4386155960598844,284.0,False
plant<->valence,spectral_entropy,-0.009378495260197975,0.8749645878162863,284,,,,0.07862622542595424,0.18720713248395884,284.0,False
plant<->valence,plant_zcr,-0.048325555682596825,0.4172054187391048,284,,,,-0.26681059960497805,5.330094315388625e-06,284.0,False
plant<->valence,bp_5_15,-0.16674778071441482,0.004840788970748601,284,,,,-0.1575409197436436,0.007928048188580969,284.0,True
plant<->valence,spike_rate,0.0046737937896405525,0.9374961732797056,284,,,,-0.21021450807646397,0.00037005024229909097,284.0,False
plant<->valence,band_power_sum,-0.13487074576901617,0.02301086892010354,284,,,,0.03996292255996712,0.5031303753101647,284.0,True
plant<->valence,bp_1_5,-0.08332516954058365,0.16137436988071097,284,,,,0.04940722349058514,0.4076788409843925,284.0,False
plant<->valence,bp_15_30,-0.2522187617054381,1.696735555411393e-05,284,,,,-0.25919855647811973,1.0016767698244326e-05,284.0,True
plant<->valence,plant_rms,0.14598142263781977,0.013798053969115452,284,,,,-0.004350494734625127,0.9419150796735142,284.0,True
plant<->valence,hjorth_activity,-0.23679731354464895,5.5670400455211506e-05,284,,,,-0.08166784617952058,0.17066356852966633,284.0,True
plant<->CO2,plant_detrend_std,-0.5600297249604694,7.574605905758635e-25,284,1.0,-0.5755586154347977,3.9460987515101326e-25,,,,True
plant<->CO2,plant_max,-0.03724287814856714,0.5319205358385789,284,3.0,-0.06172384535614346,0.3420456979718188,,,,False
plant<->CO2,hjorth_mobility,0.4947955166371111,6.057802061138771e-19,284,3.0,0.5250606518758131,2.4569249083159757e-18,,,,True
plant<->CO2,plant_range,-0.0898741902783635,0.13079706327824006,284,1.0,-0.09661173685475966,0.1139074237398147,,,,False
plant<->CO2,ratio_bp1_5_total,0.5443351573079914,2.6216999087375304e-23,284,3.0,0.5720614605674905,3.5755273319134977e-22,,,,True
plant<->CO2,plant_min,0.1215380220838928,0.04068210973509564,284,0.0,0.1215380220838928,0.04068210973509564,,,,True
plant<->CO2,ratio_bp1_5_bp5_15,-0.3240762035482375,2.2851509344314738e-08,284,3.0,-0.3438214197813016,4.905959067319341e-08,,,,True
